Référence Article;Désignation Article;Qté Stock Réel;CMUP Unitaire;Montant Stock (CMUP)
BN305306-01;RELIEF VALVE;2;188,74;377
BOUCH.1/8;BOUCHON 1/8;2;5;10
BOUCH.D1;"BOUCHON F 1""";10;25,6;256
BRID4PN16;"BRIDE DIAM.4"" PN16 8 TROUS";15;191,832;2 877
BRIDEDN100SO;Brides DN100 Slip-On;2;175;350
BRIDEDN4X2;"BRIDE 4"" REDUIT 2""";4;320;1 280
BRIDE_RESS;BRIDE RESSORT A LAME;4;40;160
BRIDES4;"BRIDES 4""  POUR COUPLEUR";4;411,1975;1 645
BRIDN100_PL;BRIDE PLATE DN100 PN10;4;77;308
BRIDN50AS;"BRIDE 2"" A SOUDER";4;180;720
BRIDN65_PL;BRIDE PLATE DN 65 PN 16;1;93,33;93
BRIDN80;"BRIDE DN3""";-1;107,5;-108
BRIDQ1;"BRIDE Q 1"" PR POMPE A MEMBRANE";2;70;140
BT605751-05;POMPE GEROTOR;1; 3 981,82;3 982
BT606625-02;PORTE;2; 1 791,93;3 584
BUFOU;CARTOUCHE FILTRANTE;2; 6 944,23;13 888
C09056D186;GARNITURE MECANIQUE;0;0;0
C-10;CRIC DE BORD 10T;7;556,26;3 894
C15;CRIC DE BORD 15T;10;831,35;8 314
C15-360;POCHETTE DE JOINT 15T;12;145,33;1 744
C20-360;POCHETTE DE JOINT 20T;1;150,36;150
C25-08;CYLINDRE PISTON H.P COMPL;4;180,65;723
C-25-360;POCHETTE DE JOINT 25T;12;87,11;1 045
C3;CRIC DE BORD 3T;1;353,67;354
C-35-360;POCHETTE DE JOINT 35T;5;111,39;557
C5;CRIC DE BORD 5T;2;384,65;769
C-5-360;POCHETTE DE JOINT;8;30,52;244
C8;CRIC DE BORD 8T;4;460,05;1 840
C-8-360;POCHETTE DE JOINT 8T;8;58,3;466
CAB-DSP06F050;CABLE FO DSP 06 BRINS ARME METALIQUE ANTI RONGEUR; 1 100;11,5;12 650
CABLE3X2.5;CABLE DE 20M 3X2.5;-1;18;-18
CABLE4X2.5;CABLE SOUPLE 4X2.5MM2;100;9,4;940
CAPSDN150;CAPS SCH40 A234 WPB DN 6 X 4;2;105;210
CAR.FIL10MC;CARTOUCHE FILTRE 10 MICRONS;0;0;0
CAS-CASSETTE;CASSETTE MDS 12 PORTS EQUIPE DE 12 COUPLEURS LC DUPLEX;8;75;600
CB25;FLEXIBLE PR HUILE CB25;7;150;1 050
CB25L2;FLEXIBLE CB25 L2M EQUIPE;0;0;0
CB25L25;FLEXIBLE CB25 L25M EQUIPE;0;0;0
CB25L3;FLEXIBLE CB25 L3M EQUIPE;0;0;0
CB25L30;FLEXIBLE CB25 L30M EQUIPE;0;0;0
CBA1_497_14;PISTOLET COBRA 1;8; 2 968,3788;23 747
CBA2-497-14;PISTOLET COBRA 2;7; 3 636,1257;25 453
CBSD050160CC;ELECTROPOMPE CENTRIFUGE 60M3/H PR GASOIL AV MOTEUR ELECTRIQUE;0;0;0
CC20;POMPE VOLUMETRIQUE A PISTON EXCENTRE REF. CC20;0;0;0
CE08;CABLE SPIRALE EQUIPE LONG:8M;0;0;0
CEF-1515-US;COAX ELBOW FITTING;4;482,76;1 931
CEF-2020-US;" COZX ELBOW FITTING 2""    ";2;576,24;1 152
CEHA6103/5AA;POMPE A CANAL LATERAL GPL AV MOTEUR ELECTRIQUE 15KW 1500TR 230/400V;0;0;0
CG07;REPARATION CONSOLE CG07;1; 4 379,71;4 380
CHAMBRE-316L;CHAMBRE A MOUSSE 316L;0;0;0
CHARIOTFLEX;CHARIOT A DEUX ROUES POUR POMPE DVP;-1;0;0
CHARIOTFLEX3R;CHARIOT MOBILE A 3 ROUES;-2;0;0
CHARIOTRAVIT;CHARIOT MOBILE A 4 ROUE PR RAVITAILLEMENT;0;0;0
CHARIOTSOUT;CHARIOT 4 ROUES POUR SOUTAGE;-2;0;0
CHASPCM;Chassis pour 1000J50;10;0;0
CHATXH3;CHASSIS PR POMPE TXH3 ;-1;0;0
CI040060;COLLIER IBIS INOX 40-60;40;8,625;345
CI140160;COLLIER IBIS INOX 140-160;60;20;1 200
CK-18;PASTILLE;36;2,46;89
COFFRET-ELEC;COFFRET ELECTRIQUE;-1;- 1 438,26;1 438
COFFRET_METAL;COFFRET METALIQUE;0;0;0
COLS3/3;COLLIER D3/3 AV EMBOUT;-16;0;0
COMM.2POST;COMMUTATEUR 2 POSITIONS;2;100;200
COM-P430-14;PISTOLET DE PEINTURE;1; 1 627,19;1 627
COM-P443-14;PISTOLET DE PEINTURE 1.4;1; 1 555,78;1 556
COMP.4R;COMPTEUR 4 CHIFFRES 4R;1; 1 458,33;1 458
COM-P522-10;PISTOLET COMPACT 10;1; 1 658,69;1 659
COM-S510B-16;PISTOLET TRANSTECH;1; 2 281,9;2 282
CONE80X65;CONE A SOUDER DE DN80 A DN65;1;70,41;70
CONEJAUGE;CONE DE JAUGEAGE;-2; 1 396,205;-2 792
CONEJAUGE8;CONE DE JAUGEAGE SUPPL;0;0;0
CONESPECIAL8;"CONE SPECIAL AV OUVERTURE CYLINDRIQUE EN 8"" ";-1; 10 946,76;-10 947
CONTA.800650;BORNES DE 2.5 4MM2;30;3,2;96
CONTA.800656;CLOISON TERMINALE 2.5;2;1,8;4
CONTA.800659;BUTEE DE BLOCAGE ES35;2;2;4
COR30X30X3;CORNIERE 30X30X3;36;7,2;259
COR40X40X4;CORNIERE 40X40X4;60;7,2;432
COUDE20S;COUDE EGALE 20S;10;93,76;938
COUDEMF3G;COUDE MF 3'' GALVANISE;5;152,366;762
COUDESSDN100;COUDE ACIER SS DN100;4;52;208
COU-SCMM;ADAPTATEURS FC MONOMODE METAL.AV ECROU;48;14;672
COUVEJAUGE;COUVRE JAUGE;0;0;0
COVERFLT1D14M;ECRAN FLOTTANT DIAM.14M PR RESERVOIR;-1; 223 375,84;-223 376
COVERFLTD24;ECRAN FLOTTANT POUR RESERVOIR DIAM 24M STANDARD DEFINI EN 1.1;0;0;0
CPA-1520-US;" COAX PIPE ADAPTER 1.5""NPT";2;304,43;609
CPA-2020-US;" COAX PIPE ADAPTER 2"" NPT ";0;0;0
CPC-1502-US;COAX PIPE COUPLING DW;4; 1 031,91;4 128
CPC-2002-US;" COAX PIPE COUPLING DW 2"" ";4; 1 217,72;4 871
CPX125-80315;GROUPE MOTOPOMPE DIESEL;0;0;0
CPX12580IPSS;GROUPE ELECTROPOMPE;0;0;0
CREP1;" CREPINE BRONZE 1""        ";1;66,25;66
CS-029;VALVE HP COMPLETTE;10;62,32;623
CSK2020;RACCORD;-2;0;0
CV3API3S;" CPL.VAPEUR 3""X3"" SYM     ";1; 1 033,09;1 033
CZ27;CORPS DE POMPE NUE;0;0;0
DBS-3648;PUISRAD DE RESERVOIR 36;1; 3 566,03;3 566
DCMT3TCE081L;DISPOSITIF DE CONTROLE DCMT3 AV CABLE SPIRALE 8M+PINCE;0;0,01;0
DEP-TECH/J;DEPLACEMENT TECHNICIEN PAR JOUR;4;600;2 400
DGD505;SOUFLETTE;1;137,78;138
DIJ070540079;BAGUE 40-56-32 MAP;2; 1 199,735;2 399
DIJ075740019;BAGUE 40-58-8;2;593,6;1 187
DOCIL400D2TH;" SONDE DOCIL 2"" LG3000MM  ";0;0;0
DS152;FLECTOR D'ACCOUPLEMENT;2; 2 269,8;4 540
DVFR-2;REGULATEUR AIR SUBMICRONQ;1; 4 156,21;4 156
DVP41W;TUYAUTERIE ASPIRATION;2; 1 848,46;3 697
DVP510;POMPE A MEMBRANE;4; 9 827,7875;39 311
DVP52AN;BY PASS;2; 1 876,285;3 753
E02643GNNMN;ESCALIER A ABATTANT 3 MARCHES GALVANISE;0; 76 031,02;76 031
E0656-907;CLAPET TARE 4'' TTMA;0;0;0
E34;RESSORT;3;8,12;24
E6481600;FLOTTEUR PR DEGAZEUR;3;893,41;2 680
EC.INOX;ECROU INOX;-100;0;0
EEXDIIBT4;MOTEUR ADF 5.5 KW 1500TR 400/690V 50HZ;1; 7 060,99;7 061
EFBD1212;FLEXIBLE 1000MM;1;360;360
EFBD1616;FLEXIBLE;1;450;450
EMBOUT13-8L;EMBOUT LISSE 13-8L;8;35;280
EMBOUT20-F1/2;EMBOUT LISSE 20-F1/2;8;60;480
ENR25M;ENROULEUR DE FLEXIBLE 25M;0;0;0
EP-IP-360;POCHETTE DE JOINT 4T;1;45,6;46
ETALSONDE;ETALONAGE COFRAC DES SONDES DE TEMPERATURE PT100;1; 4 792,41;4 792
ETIQD22;ETIQUETTE DIAM 22;12;10;120
ETIQD50X25MM;ETIQUETTE 50MM X 25MM;5;9;45
F0044021;SOUPAPE SECURITE DOME;49;567,1559;27 791
F1014KL2B;" KIT REP FFKL2""/NITRILE   ";3; 1 807,29;5 422
F1014KL3B;" KIT REP FFKL3""/NITRILE   ";1; 1 780,78;1 781
F-19-38;COUPELLES;4;258,88;1 036
F-21-65;JOINTS;22;30,6282;674
F-22-30;JOINTS TUBE AIR;15;0,4;6
F-22-35;JOINTS;24;4,1;98
F-26-25;ETOUPES;23;11,49;264
F-26-35;ETOUPE;23;6,19;142
F-26-52;JOINTS;12;30,2;362
F2P+T16A220V;FICHE 2P+T 16A 220V;1;25;25
F3P+T16A380V;FICHE 3P+T 16A 380V;3;30;90
F3P+T+N32A380V;FICHE 3P+T+N 32A 380V;1;30;30
F-51-65;RESSORTS;11;3,5;39
F-51-83;RESSORTS;8;20,25;162
FA063;FLECTOR CAOUTCHOUC;1;260,91;261
FAB.FUT;FABRICATION LIVRAISON ET POSE FUTS DE BRAS SOURCE; 4 500;4;18 000
FCE3201465;"JOINT TORIQUE BUNA PR RACCORD WECO 2""";2;207,285;415
FCE3205604;"JOINT TORIQUE BUNA PR RACCORD WECO 3""";2;217,855;436
FEB-6150M;" FLEXIBLE 1.5""            ";30;165,22;4 957
FEB-615M;" PRESSE ETOUPE 1.5""       ";2;138,8;278
FEB-6200M;" PRESSE ETOUPE 2""         ";10;137,59;1 376
FEPM-8X6;FLEXIBLE 10 METRES;1; 1 257,75;1 258
FF1CAMLOK;COUPLEUR CAMLOK FF1;1;220;220
FH4210E4E4;"FLEXIBLE HYDROCARBURE 4"" L2060MM";0;0;0
FILD4BRZ;"FILTRE A TAMIS EN BRONZE DIAM.4""";-3;0;0
FIL.REGL1/2;FILTRE REGULATEUR 1/2;-5;400;-2 000
FILT-EAU1;"FILTRE A EAU 1""";0;0;0
FILTRE1HP;"FILTRE 1"" HP POUR FUEL";0;0;0
FILTYD1;"FILTRE EN Y LAITON DIAM.1""";-1;0;0
FKVISMONT2;JEU DE VIS;3; 1 888,02;5 664
FLECT.ACCPL;FLECTOR ACCOUPLEMENT;-1;0;0
FLEX1/2L25M;FLEXIBLE DE LAVAGE 1/2 HP LG 25M COTE MALE 1/2 COTE MALE 3/8;1;997;997
FLEX1/2L4M;FLEXIBLE A HUILE HP 1/2 LG 4M + ADAPTEUR;25;240;6 000
FLEX3/4;FLEXIBLE 3/4 LG 750 + AD;5;173,84;869
FLEX3/4L1M;FLEXIBLE 3/4 L1M;11;125;1 375
FLEX3/4L4;FLEXIBLE CB 3/4 L4M EQUIPE;0;0;0
FLEX3/4L600;FLEXIBLE HP 3/4 LG 600 +AD M.F;13;133,3077;1 733
FLEX3/4MFL800MM;FLEXIBLE 3/4  MALE/FEM.L800MMMM+ADAPTEUR;1;180,94;181
FLEX3/8L25M;FLEXIBLE DE LAVAGE L25M 3/8 M/F;-1;997;-997
FLEXAIR10M;FLEXIBLE AIR L10M;-1;0;0
FLEX.AIR12M;FLEXIBLE D'AIR 12M;-2;0;0
FLEX.AIR3M;FLEXIBLE AIR LONG:3M;-2;0;0
FLEXAIR_L10M;FLEXIBLE AIR LONG 10M + AD;1;202;202
FLEXD17L47M;FLEXIBLE D17+EMBOUT MALE L47.20M;-1;0;0
FLEX.H-L10M;FLEXIBLE HUILE LONG 10M;0;0;0
FLEXHP1/2L1M;FLEXIBLE HP 1/2 LG 10000;26;407,5;10 595
FLEXHP1/2L20M;FLEXIBLE DE LAVAGE1/2 LG20M;1;0;0
FLEXHP1/2L2M;FLEXIBLE HP 1/2 LG 2000 M.F;10;223,667;2 237
FLEXHP3/8L2M;FLEXIBLE HP 3/8 LG2000MM;2;124,5;249
FLEXHP3/8L3M;FLEXIBLE HP 3/8 LG 3000MM;1;162;162
FLEXHPDN40L3M;FLEXIBLE HP R2 1'' 1/2 LONG 3M MF + JONCT EN ALU 2'';1; 1 302;1 302
FLEXL2.5D3/4;FLEXIBLE ANTI ACIDE 2.5M;1;694;694
FLEXL350D1/2;FLEXIBLE HP DIAM 1/2 +AD M.F;13;76,6231;996
FLEXL6D1;FLEXIBLE HP LG 600 DIAM 1'' + AD M.F;13;254,0308;3 302
FLEXL6D1/2;"FLEXIBLE LONG.6M DIAM1/2""";-3;0;0
FLEXMWL8M;FLEXIBLE GASOIL MW L8M S.M ACIER;1;340;340
FLEXQ8L12M;FLEXIBLE A AIR Q 8 LG 1200MM;2;250;500
FLG-S5-18;PISTOLET;1;952,12;952
F-P40X4;FER PLAT 40 X 4;80;7,2;576
FPLAT16X4-6ML;FER PLAT 16X4 DE 6ML;1;21,6;22
FPLAT40X4;FER PLAT 40X4;16;7,2;115
FPLAT60X5-6ML;FER PLAT 60X5 DE 6ML;3;108;324
FR200-02G;FILTRE REGULATEUR 1/4;6;159,2;955
FR300-02G;" FILTRE REGULATEUR 1/4""   ";0;0;0
FR-L400-04G;" FILTRE REGULATEUR 1/2""   ";0;0;0
FT850/500K;ELECTRO-COMPRESSEUR 500L;21; 9 326,7614;195 862
FT850/500KM10;ELECTRO-COMPRESSEUR 500L 10CV;0;0;0
G012319;RACCORD RAPIDE;2;376,5;753
G1000049;BUSE JET PLAT;28;161,5921;4 525
G1000055;ELECTRODE POUR BUSE;30;221,351;6 641
G103128;TUYAU POUDRE;6; 1 995,59;11 974
G14427MO;RESSORT;3;13,9;42
G14427NN;RESSORT;2;13,9;28
G14427PT;RESSORT;2;21,19;42
G3002515/1;S/E AXE PIGNION ET ROUE;3;242,43;727
G3002515/2;S/E AXE PIGNION ET ROUE;3;242,43;727
G3002516/1;ROULEAU;3;215,05;645
G3002516/2;ROULEAU;3;215,05;645
G313935042;PIGNION;2;44,37;89
G313948010;GUIDE BALADEUR (CENTAINE);1;369,2;369
G313957010;GUIDE BALADEUR;1;369,2;369
G313959010;GUIDE BALADEUR 10 UNITES;1;369,2;369
G313968010;PIGNION CONIQUE;1;166,23;166
G315457001;ROULEAU F.ARRIERE;3;217,95;654
G315457002;ROULEAU;3;193,33;580
G315457004;ROULEAU;3;193,33;580
G331341;DEFLECTEUR;1;51,67;52
G340057;CONSOLE DE CONTROLE;1; 23 210,53;23 211
G354201;RACCORD EN TEFLON;51;67,7;3 453
G358215;BUSE JET DROIT;1;399,65;400
G377724;DOUILLE D'INJECT. TEFLON;238;51,1245;12 168
G382922;BUSE JET ROND NS02 COMPLT;0;0;0
G387827;RACCORD TUYAU OPTIFLOW;2;202,25;405
G770623;AXE DE CULBUTEUR;1;180,17;180
G770703;AXE DE ROULEAU FACE AVANT;1;244,74;245
G770704;AXE ROULEAU FACE ARIERE;1;244,74;245
G774811;DISQUE;25;34,12;853
G806571;CLIQUET;1;50,46;50
GAR.MEC;GARNITURE MECANIQUE;-1;0;0
GB10702;ROULEMENT POMPE;5;295,83;1 479
GCM-316L;CHAMBRE A MOUSSE GCM 316L;0;0;0
GCT-3811;FLEXIBLE CONNEXION TEST;14;75,78;1 061
GFC501;GODET GRAVITE PLASTIQUE;8;212,6675;1 701
GFE-2200-RUS;"FLEXIBLE DOUBLE PAROI 2""";-5;0;0
GL-1-K10;KIT DE FLACON D'HUILE;4;68,6;274
GNZ73.49/28;GARNITURE MECANIQUE;2; 2 977,4;5 955
GRMPD400;POMPE DIESEL PRINCIPALE DEBIT 400M3/H A 12 BARS;0;0;0
GS58RC;ROUE OVALE;1; 6 314;6 314
GTI-108;GACHETTE;9;86,09;775
GTI-213-10-K;BUSE 1.0MM;2;201,41;403
GTI-213-11-K;BUSE 1.1MM;2;201,41;403
GTI213-1.2C;BUSE 1.2MM;4;232,49;930
GTI213-1.3;BUSE 1.3MM INOX H;3;172,45;517
GTI213-1.4;BUSE INOX 1.4MM INOX H;3;163,12;489
GTI-213-14K;BUSE 1.4MM;2;211,42;423
GTI213-1.5;BUSE 1.5MM INOX H;0;0;0
GTI-214-16;BUSE 1.6;2;178,51;357
GTI214-1.8;BUSE 1.8;2;163,12;326
GTI-407-110;CHAPEAU D'AIR;1;390,02;390
GTI-407-122;CHAPEAU D'AIR;2;385,19;770
GTI-408-K5;KIT DE 5 AXES DE GACHETTE;9;147,08;1 324
GTI410F;ENS VALVE AIR PLASTIQUE;1;124,32;124
GTI-413-K;AIGUILLE;2;126,62;253
GTI-414-K;VIS DE REGLAGE;12;96,0792;1 153
GTI-420-K;AIGUILLE;2;140,37;281
GTI425K;BAGUE DEFLECTRICE;8;195,935;1 567
GTI-439-K2;KIT DE 2 ETOUPES+PRESSE E;1;111,33;111
GTI-445-K2;KIT;17;236,84;4 026
GTIPRO-T1B14;PISTOLET GRAVITE;10; 2 006,758;20 068
GTIPRO-T2C13;PISTOLET GRAVITE PRO 1.3;8; 2 121,985;16 976
GTP1983;Boîte recharge membranes colorimétriques GAMMON (100 pièces);5; 1 391,422;6 957
GTP8392;Poignée HM PGHM2 DIV-GAMMON;3; 2 382,05;7 146
GTT-3836;" FLEXIBLE TEST 36""        ";13;158,5;2 061
H07RN-F2X4MM2;CABLE DE MISE A LA TERRE 2X4MM2;77;14;1 078
H4187;QUEUE RACC.MF 1/4NPS 9/16;20;57,07;1 141
H-7501;TUYAU AIR;16;39,23;628
H-7503;TUYAU PRODUIT;-10;37,369;-374
H-7503-150M;TUYAU 1/4'' 150M;1; 5 059,38;5 059
H-7504;TUYAU PRODUIT;10;54,89;549
HC4507;RACCORDS;5;107,49;537
HC-4523;RACCORD DROIT;2;133,15;266
HCR-4531;RACCORD MALE 1/4;5;169,94;850
HEB10012ML;BARRE HEB 100 EN 12ML;2; 1 820,4;3 641
HEB1006ML;BARRE HEB 100 EN 6ML;1;910,2;910
HEB2006ML;Barre HEB 200 de 6ML;370;7,4;2 738
HGB_509;REGULATEUR DE DEBIT;1;94,41;94
HGB_510;REGULATEUR DE DEBIT;1;94,41;94
I010025105;ROULEMENT A BILLES;1;327,56;328
I037363290;COUSSINET;1;565,61;566
I045201315;JOINT PLAT;2;95,22;190
I045903740;BAGUE D'ETANCHEITE;1;175,21;175
I434241110;ROUE A AILETTES;1; 3 167,06;3 167
I436241110;ROUE;1; 3 083,93;3 084
I_638C5TB;ELEMENT COALESCEUR VELCON;5; 3 809,512;19 048
I921702210;CHEMISE D'ARBRE;2; 1 605,64;3 211
I921702220;CHEMISE D'ARBRE;1; 1 232,16;1 232
IDN-08-01-S;INDICATEUR DE NIVEAU;0;0;0
IDN-12-01-S;INDICATEUR DE NIVEAU 12M A REGLETTE HAUTEUR:12M;0;0;0
IDN15-01-S;INDICATEUR DE NIVEAU A REGLETTE HAUTEUR:14.40MM;0;0;0
IGI050;FLEXIBLE HYDRO 2'' LONG 40M;6; 6 427,3033;38 564
IGIO40DN38;" FLEXIBLE 40M D1""1/2      ";5; 5 358,93;26 795
IGK75L8D3;"FLEXIBLE DEPOTAGE L8M D3""";7;549,2471;3 845
IIS15004;JOINT SPIRAL 4'' SERIE 150 DOUBLE ANNEAUX;4;115;460
INST-ELECT.;TRAVAUX D'INSTALATION ELECTRIQUES,INSTRUMENTTAION DES NOUVEAUX ILOTS;2; 137 725,515;275 451
INTERP200B;NETTOYEUR H.PRESSION 200B 15L/MN 7.5CV ;0;0;0
IPE16012ML;BARRE IPE 160 EN 12ML;2; 1 368;2 736
J0452-051;COUPLEUR API JTS VITON;0;0;0
JACT420;BUSE ORFVAR 0.18-0.48;1; 1 775,24;1 775
JARR2XSC3M50/125; JARRTIERRE 2XSC/SC 3MTS 50/125;8;122;976
JAUGEQ12;JAUGE Q 12;2;100;200
JGA-1225;BAGUE DEFLECTRICE;1;112,03;112
JGA-132;BOUCHON LOGEMENT;2;20,52;41
JGA17;DOUILLE DE GUIDAGE;12;58,12;697
JGA_22;RACCORD;3;25,1;75
JGA-35;AXE DE GACHETTE;4;20;80
JGA-402-FZ;AIGUILLE;24;172,49;4 140
JGA402NAC;AIGUILLE NITRURE 2.8;3;126,46;379
JGA-409-AC;AIGUILLE CARBURE 2.8;6;950,275;5 702
JGA-409-D;AIGUILLE 2.2 CARBURE;14;877,2993;12 282
JGA-421-CK;AIGUILLE INOX 2.8;31;157,7971;4 892
JGA421DEX-K;AIGUILLE 1.8;8;155,9125;1 247
JGA-421-FFK;AIGUILLE INOX 1.4;3;143,71;431
JGA421FV;AIGUILLE;1;100,51;101
JGA421FX;AIGUILLE;4;83,03;332
JGA421G;AIGUILLE INOX;31;101,75;3 154
JGA-51;CONTRE ECROU;11;10,4;114
JGD14;JOINT;3;9,08;27
JGD14K5;KIT DE 5 JOINTS;2;45,57;91
JGD402-1;BAGUE DEFLECTRICE;0;0;0
JGHV-101-46MP;CHAPEAU D'AIR BP LAITON;6;364,7567;2 189
JGHV436FFK;AIGUILLE;1;159,64;160
JGHV436FYK;AIGUILLE;2;159,64;319
JGHV450-4650;BAGUE DEFLECTRICE;3;380,58;1 142
JGHV73FF;BUSE;3;236,96;711
JGHV73FY;BUSE;2;342,08;684
JGK-449;VALVE D'ELARGISSEMENT;10;157,169;1 572
JGK449KT;KIT VALVE GACHETTE;-10;0;0
JGS-431;SOUPAPE DE VALVE;28;43,87;1 228
JGS72;JOINT;6;6,58;39
JGS72K10;KIT DE 10 JOINTS;5;40,702;204
JGS72K5;KIT DE JOINTS;10;31,1;311
JGV255;AXE DE GACHETTE;3;26,62;80
JGV261K10;KIT DE 10 RESSORTS INOX;7;65,28;457
JGV262;RESSORT;4;15;60
JGV262K5;KIT 5 RESSORTS DE VALVE;4;74,59;298
JM8522-1;Câble HM spirale - Lg. 14m DIV-FR;3; 1 235,9067;3 708
JOINTACC;Joint d'accouplement BICO 150;2;130;260
JOINTORIQUE;JOINT TORIQUE;-4;0;0
JOINTPLATEP5;JOINT PLAT EP 5 DI 100MM DE 120;11;25;275
JP02;POMPE MANUELLE PR ACIDE;4;491,13;1 965
JTCULS;JOINT CULAS;6;60;360
JTCYL;JOINT DE CYLINDRE;6;60;360
K11-38;CULASSE;2;143,19;286
K17-26;AXE DE PISTON;2;2,04;4
K17-27;PISTON;3;145,46;436
K17-28;SEGMENT DE COMPRESSION;21;38,95;818
K17-30;SEGMENT RACLEUR;9;50,14;451
K18-2;VILBREQUIN;3;426,9;1 281
K18-22;BIELLE;4;206,39;826
K18-27;PISTON;3;183,46;550
K18-28;SEGMENT RACLEUR;1;63,35;63
K18-29;SEGMENT HUILEUR;1;55,4;55
K18-30;SEGMENT DE COMPRESSION;1;50,87;51
K18-31;CYLINDRE;9;738,66;6 648
K18-33;JOINT DE CYLINDRE;12;38,05;457
K18-36;JOINT DE PLAQUE;8;29,24;234
K18-37;JOINT DE CULASSE;14;34,57;484
K18-4502;KIT SEGMENT;1;104,17;104
K18-8;VOLANT POUR TETE COMPRK18;1;373,99;374
K30;TETE DE COMPRESSEUR;13; 3 344,3915;43 477
K30-14;NIVEAU D'HUILE;17;15,89;270
K30-20;BOUCHON DE VIDANGE;213;10,39;2 213
K30-27;PISTON BP;9;250,89;2 258
K30-27A;PISTON HP;3;224,55;674
K30-31;CYLINDRE;3;800,03;2 400
K30-35A;CLAPET-LAME HP;58;19,2;1 114
K30-36;CLAPET-LAME BP;2;22,49;45
K30-38;CULASSE;2;672,32;1 345
K30-4;ARRET D'HUILE;0;0;0
K30-402;CLAPET DE RETENUE;34;72,16;2 453
K30-41A;COUVERCLE FILTRE;-2;0;0
K3042B;CORP FILTRE;4;41,78;167
K30-4509;KIT SEGMENT;0;0;0
K30-49;COLLECTEUR;1;249,52;250
KG166;RESSORT PR ENROULEUR;1; 1 211,95;1 212
KG180;MUFLEUR;1;53,3;53
KGP-12-K5;GODET;4;74,56;298
KGP-505;GODET;4;208,4;834
KGP5K5;KIT DE 5 FILTRES;4;110,175;441
KIT;KIT DE 7 JOINT BUTYL VANN;1; 3 133,93;3 134
KITASPIR1;"KIT ASPIRATION 1""";0;380;380
KITCOBRA2;KIT COMPLET COBRA2;-1;0;0
KITD2000-4VA;" GARNITURE PTFE/VITON 4""  ";2; 2 007,87;4 016
KITREFL1;KIT REFOULEMENT;0;320;320
KITTOP;KIT DE COLLAGE POUR TOP;1; 2 037,12;2 037
KK-4503F;KIT ENTRETIEN;2;307,74;615
KK4566FFH;KIT REPARATION AGGS522;1; 1 185,15;1 185
KK-4627;KIT MEMBRANES;1; 1 075,63;1 076
KK-4630;KIT MEMBRANES;5; 1 865,342;9 327
KK-4631;KIT BILLES POMPE STANDARD;3;357,65;1 073
KK-4632;KIT BILLE POMPE CERAMIQUE;2;855,24;1 710
KK-4633;KIT CAPTEUR INVERSEUR;1;404,62;405
KK-4633G;KIT CAPTEUR;1;10,11;10
KK-4634;KIT DISTRIBUTEUR;2;916,54;1 833
KK-4644FFH;KIT REPARATION;1;307,74;308
KK4651F97;KIT 1ER SECOURS;5;315,05;1 575
KK-4690;KIT PISTON;8;187,88;1 503
KK4691;KIT RACCORD AIR;3;643,46;1 930
KK4992;KIT REPARATION AGP;1;242,5;243
KK4993;KIT RESSORT;2;129,02;258
KP-CP-360;POCHETTE DE JOINT 10X12T;3;78,17;235
KR-110-K3;KIT GODET;3;241,96;726
KR115K5;MEMBRANE ANTI GOUTTE;4;34,11;136
KR-11-K3;KIT;5;35,81;179
KR3751;KIT COMPTEUR MECANIQUE;9;39,11;352
KR4454;KIT DE JOINT VIDANGE CART;5;26,29;131
KR484K10;KIT 10 FILTRES 350MICRONS;2;233,27;467
KR5651N;GODET 1/2L 3/8;1;600,42;600
KR566-1-B;GODET 1L;18;539,0094;9 702
KR6201;KIT RECHANGE GROUP+VANNE;5;422,68;2 113
KR6203;KIT GARNITURE RONDELLE;4;59,83;239
KR69;JOINT;1;16,85;17
KS3680;KIT PR SURPRESSEUR HUILE;14;718,64;10 061
KS6380;KIT PR SURPRESS. GRAISSE;2;593,73;1 187
KS7185;KIT PR ENROULEUR;8;421,11;3 369
KWS2M40;FILTRE COTON 58L;6;553,32;3 320
L1120845-001;BRAS DE CHARGEMENT SOURCE  WE2852-003 4'';0;0;0
L2302-99-510;INDICATEUR DE NIVEAU A REGLETTES;0;0;0
LADS2;BLOC TEMPORISE F DECALE;1;290;290
LAM;LAMPE 220V POUR DCMT;5;10;50
LAMPLAST;LAMPE PR VOYANT LUNINEUX EN PLASTIQUE 220V;6;5;30
LANCE-DN80;LANCE MONITOR DN80 ASA150;0;0;0
LANCE-HP;LANCE DE LAVAGE HAUTE PRESSION PR NETTOYEURS;2;350;700
LC1D1156M5;CONT 115A 1F+1O 220V 50HZ 3P+1F+10 COSS;1; 1 650;1 650
LC1D18;CONTACTEUR 5.5KW;1;288,64;289
LCD1506M7;CONT 150A+10 220V50 60 3P+1F+10 COSSF;2; 1 950;3 900
LG2S140T;POMPE DOSEUSE;1; 7 932,59;7 933
LG2S350GT;PRECI POMPE LG2 SIMPLEX MEMBRANE SECHE PTFE DEBIT:350L/H RACC.3/4;0;0;0
LIM-03;LIMITEUR DE DEBIT 1/2;8;111,55;892
LM2305A-12;SURPRESSEUR A HUILE 25KGS;13; 2 851,9508;37 075
LM2350E-21D;SURPRESS.GRAISSE 25KG CPL;2; 4 709,84;9 420
LM2350E-22-B;Pompe à graisse ARO 25 Kgs;8; 7 840,9488;62 728
LP3005-1;UNITE DE GRAISSAGE 200KGS;1; 10 757,22;10 757
